"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TLSv1.2","152","Application Data"
"2","0.000059600","127.0.0.1","127.0.0.1","TCP","44","63744  >  63748 [ACK] Seq=1 Ack=109 Win=270 Len=0"
"3","0.006331700","127.0.0.1","127.0.0.1","TLSv1.2","70","Application Data"
"4","0.006389600","127.0.0.1","127.0.0.1","TCP","44","63748  >  63744 [ACK] Seq=109 Ack=27 Win=245 Len=0"
"5","0.006426300","127.0.0.1","127.0.0.1","TLSv1.2","151","Application Data"
"6","0.006440600","127.0.0.1","127.0.0.1","TCP","44","63748  >  63744 [ACK] Seq=109 Ack=134 Win=244 Len=0"
"7","1.046711100","127.0.0.1","127.0.0.1","TCP","45","49280  >  63342 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"8","1.046743400","127.0.0.1","127.0.0.1","TCP","56","63342  >  49280 [ACK] Seq=1 Ack=2 Win=255 Len=0 SLE=1 SRE=2"
"9","1.294917400","127.0.0.1","127.0.0.1","TCP","45","52779  >  63342 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"10","1.294955100","127.0.0.1","127.0.0.1","TCP","56","63342  >  52779 [ACK] Seq=1 Ack=2 Win=255 Len=0 SLE=1 SRE=2"
"11","4.008577500","127.0.0.1","127.0.0.1","TLSv1.2","152","Application Data"
"12","4.008648100","127.0.0.1","127.0.0.1","TCP","44","63744  >  63748 [ACK] Seq=134 Ack=217 Win=270 Len=0"
"13","4.013993500","127.0.0.1","127.0.0.1","TLSv1.2","70","Application Data"
"14","4.014049100","127.0.0.1","127.0.0.1","TCP","44","63748  >  63744 [ACK] Seq=217 Ack=160 Win=244 Len=0"
"15","4.014091000","127.0.0.1","127.0.0.1","TLSv1.2","151","Application Data"
"16","4.014113300","127.0.0.1","127.0.0.1","TCP","44","63748  >  63744 [ACK] Seq=217 Ack=267 Win=244 Len=0"
"17","4.601119600","127.0.0.1","127.0.0.1","TCP","45","63756  >  63342 [ACK] Seq=1 Ack=1 Win=242 Len=1"
"18","4.601162500","127.0.0.1","127.0.0.1","TCP","56","63342  >  63756 [ACK] Seq=1 Ack=2 Win=217 Len=0 SLE=1 SRE=2"
"19","4.884321700","127.0.0.1","127.0.0.1","TCP","45","54975  >  63342 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"20","4.884374900","127.0.0.1","127.0.0.1","TCP","56","63342  >  54975 [ACK] Seq=1 Ack=2 Win=253 Len=0 SLE=1 SRE=2"
"21","7.241008900","127.0.0.1","127.0.0.1","TCP","44","49280  >  63342 [FIN, ACK] Seq=2 Ack=1 Win=255 Len=0"
"22","7.241070000","127.0.0.1","127.0.0.1","TCP","44","63342  >  49280 [ACK] Seq=1 Ack=3 Win=255 Len=0"
"23","7.241219300","127.0.0.1","127.0.0.1","TCP","44","52779  >  63342 [FIN, ACK] Seq=2 Ack=1 Win=255 Len=0"
"24","7.241256800","127.0.0.1","127.0.0.1","TCP","44","63342  >  52779 [ACK] Seq=1 Ack=3 Win=255 Len=0"
"25","7.241735500","127.0.0.1","127.0.0.1","TCP","44","63342  >  52779 [FIN, ACK] Seq=1 Ack=3 Win=255 Len=0"
"26","7.241735700","127.0.0.1","127.0.0.1","TCP","44","63342  >  49280 [FIN, ACK] Seq=1 Ack=3 Win=255 Len=0"
"27","7.241780500","127.0.0.1","127.0.0.1","TCP","44","52779  >  63342 [ACK] Seq=3 Ack=2 Win=255 Len=0"
"28","7.241780600","127.0.0.1","127.0.0.1","TCP","44","49280  >  63342 [ACK] Seq=3 Ack=2 Win=255 Len=0"
"31","7.280259100","127.0.0.1","127.0.0.1","HTTP","950","GET /Wireshark%20Web%20Traffic%20Analysis/index.html?_ijt=jht1a7c04lubumqk802e4orid1&_ij_reload=RELOAD_ON_SAVE HTTP/1.1 "
"32","7.280306800","127.0.0.1","127.0.0.1","TCP","44","63342  >  63756 [ACK] Seq=1 Ack=908 Win=213 Len=0"
"33","7.287637500","127.0.0.1","127.0.0.1","TCP","367","63342  >  63756 [PSH, ACK] Seq=1 Ack=908 Win=213 Len=323 [TCP PDU reassembled in 37]"
"34","7.287682800","127.0.0.1","127.0.0.1","TCP","44","63756  >  63342 [ACK] Seq=908 Ack=324 Win=241 Len=0"
"35","7.287935000","127.0.0.1","127.0.0.1","TCP","2590","63342  >  63756 [PSH, ACK] Seq=324 Ack=908 Win=213 Len=2546 [TCP PDU reassembled in 37]"
"36","7.287953500","127.0.0.1","127.0.0.1","TCP","44","63756  >  63342 [ACK] Seq=908 Ack=2870 Win=231 Len=0"
"37","7.288064200","127.0.0.1","127.0.0.1","HTTP","1523","HTTP/1.1 200 OK  (text/html)"
"38","7.288079400","127.0.0.1","127.0.0.1","TCP","44","63756  >  63342 [ACK] Seq=908 Ack=4349 Win=225 Len=0"
"39","7.295539700","127.0.0.1","127.0.0.1","TCP","52","54975  >  63342 [PSH, ACK] Seq=2 Ack=1 Win=255 Len=8"
"40","7.295597700","127.0.0.1","127.0.0.1","TCP","44","63342  >  54975 [ACK] Seq=1 Ack=10 Win=253 Len=0"
"41","7.295777200","127.0.0.1","127.0.0.1","TCP","44","54975  >  63342 [FIN, ACK] Seq=10 Ack=1 Win=255 Len=0"
"42","7.295807400","127.0.0.1","127.0.0.1","TCP","44","63342  >  54975 [ACK] Seq=1 Ack=11 Win=253 Len=0"
"43","7.297145500","127.0.0.1","127.0.0.1","TCP","48","63342  >  54975 [PSH, ACK] Seq=1 Ack=11 Win=253 Len=4"
"44","7.297199000","127.0.0.1","127.0.0.1","TCP","44","54975  >  63342 [RST, ACK] Seq=11 Ack=5 Win=0 Len=0"
"47","7.325071900","127.0.0.1","127.0.0.1","HTTP","801","GET /favicon.ico HTTP/1.1 "
"48","7.325129900","127.0.0.1","127.0.0.1","TCP","44","63342  >  63756 [ACK] Seq=4349 Ack=1665 Win=210 Len=0"
"49","7.329847000","127.0.0.1","127.0.0.1","HTTP","1958","HTTP/1.1 200 OK  (image/vnd.microsoft.icon)"
"50","7.329901300","127.0.0.1","127.0.0.1","TCP","44","63756  >  63342 [ACK] Seq=1665 Ack=6263 Win=218 Len=0"
"51","7.582058700","127.0.0.1","127.0.0.1","TCP","56","53260  >  63342 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"52","7.582200000","127.0.0.1","127.0.0.1","TCP","56","63342  >  53260 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"53","7.582253400","127.0.0.1","127.0.0.1","TCP","44","53260  >  63342 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"54","7.629487000","127.0.0.1","127.0.0.1","TCP","56","49290  >  63342 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"55","7.629665700","127.0.0.1","127.0.0.1","TCP","56","63342  >  49290 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"56","7.629738500","127.0.0.1","127.0.0.1","TCP","44","49290  >  63342 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"57","7.630769000","127.0.0.1","127.0.0.1","HTTP","711","GET /jb-server-page?reloadMode=RELOAD_ON_SAVE&referrer=%2FWireshark%2520Web%2520Traffic%2520Analysis%2Findex.html HTTP/1.1 "
"58","7.630803700","127.0.0.1","127.0.0.1","TCP","44","63342  >  49290 [ACK] Seq=1 Ack=668 Win=64768 Len=0"
"59","7.632761400","127.0.0.1","127.0.0.1","HTTP","280","HTTP/1.1 101 Switching Protocols "
"60","7.632797400","127.0.0.1","127.0.0.1","TCP","44","49290  >  63342 [ACK] Seq=668 Ack=237 Win=65280 Len=0"
"61","8.018261600","127.0.0.1","127.0.0.1","TLSv1.2","152","Application Data"
"62","8.018346300","127.0.0.1","127.0.0.1","TCP","44","63744  >  63748 [ACK] Seq=267 Ack=325 Win=269 Len=0"
"63","8.024794000","127.0.0.1","127.0.0.1","TLSv1.2","70","Application Data"
"64","8.024841400","127.0.0.1","127.0.0.1","TCP","44","63748  >  63744 [ACK] Seq=325 Ack=293 Win=244 Len=0"
"65","8.024877200","127.0.0.1","127.0.0.1","TLSv1.2","151","Application Data"
"66","8.024896000","127.0.0.1","127.0.0.1","TCP","44","63748  >  63744 [ACK] Seq=325 Ack=400 Win=243 Len=0"
"67","8.361015500","127.0.0.1","127.0.0.1","HTTP","950","GET /Wireshark%20Web%20Traffic%20Analysis/index.html?_ijt=jht1a7c04lubumqk802e4orid1&_ij_reload=RELOAD_ON_SAVE HTTP/1.1 "
"68","8.361108400","127.0.0.1","127.0.0.1","TCP","44","63342  >  63756 [ACK] Seq=6263 Ack=2571 Win=206 Len=0"
"69","8.366628100","127.0.0.1","127.0.0.1","TCP","367","63342  >  63756 [PSH, ACK] Seq=6263 Ack=2571 Win=206 Len=323 [TCP PDU reassembled in 73]"
"70","8.366679800","127.0.0.1","127.0.0.1","TCP","44","63756  >  63342 [ACK] Seq=2571 Ack=6586 Win=217 Len=0"
"71","8.367153200","127.0.0.1","127.0.0.1","TCP","2590","63342  >  63756 [PSH, ACK] Seq=6586 Ack=2571 Win=206 Len=2546 [TCP PDU reassembled in 73]"
"72","8.367183700","127.0.0.1","127.0.0.1","TCP","44","63756  >  63342 [ACK] Seq=2571 Ack=9132 Win=207 Len=0"
"73","8.367685200","127.0.0.1","127.0.0.1","HTTP","1523","HTTP/1.1 200 OK  (text/html)"
"74","8.367714700","127.0.0.1","127.0.0.1","TCP","44","63756  >  63342 [ACK] Seq=2571 Ack=10611 Win=201 Len=0"
"75","8.372738000","127.0.0.1","127.0.0.1","WebSocket","52","WebSocket Connection Close [FIN] [MASKED]"
"76","8.372786400","127.0.0.1","127.0.0.1","TCP","44","63342  >  49290 [ACK] Seq=237 Ack=676 Win=64768 Len=0"
"77","8.372945100","127.0.0.1","127.0.0.1","TCP","44","49290  >  63342 [FIN, ACK] Seq=676 Ack=237 Win=65280 Len=0"
"78","8.372985700","127.0.0.1","127.0.0.1","TCP","44","63342  >  49290 [ACK] Seq=237 Ack=677 Win=64768 Len=0"
"79","8.373954200","127.0.0.1","127.0.0.1","WebSocket","48","WebSocket Connection Close [FIN] "
"80","8.374017000","127.0.0.1","127.0.0.1","TCP","44","49290  >  63342 [RST, ACK] Seq=677 Ack=241 Win=0 Len=0"
"83","8.401240800","127.0.0.1","127.0.0.1","HTTP","801","GET /favicon.ico HTTP/1.1 "
"84","8.401291700","127.0.0.1","127.0.0.1","TCP","44","63342  >  63756 [ACK] Seq=10611 Ack=3328 Win=204 Len=0"
"85","8.405113200","127.0.0.1","127.0.0.1","HTTP","1958","HTTP/1.1 200 OK  (image/vnd.microsoft.icon)"
"86","8.405181400","127.0.0.1","127.0.0.1","TCP","44","63756  >  63342 [ACK] Seq=3328 Ack=12525 Win=193 Len=0"
"87","8.707584300","127.0.0.1","127.0.0.1","TCP","56","51348  >  63342 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"88","8.707732700","127.0.0.1","127.0.0.1","TCP","56","63342  >  51348 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"89","8.707782300","127.0.0.1","127.0.0.1","TCP","44","51348  >  63342 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"90","8.708611400","127.0.0.1","127.0.0.1","HTTP","711","GET /jb-server-page?reloadMode=RELOAD_ON_SAVE&referrer=%2FWireshark%2520Web%2520Traffic%2520Analysis%2Findex.html HTTP/1.1 "
"91","8.708648100","127.0.0.1","127.0.0.1","TCP","44","63342  >  51348 [ACK] Seq=1 Ack=668 Win=64768 Len=0"
"92","8.710506800","127.0.0.1","127.0.0.1","HTTP","280","HTTP/1.1 101 Switching Protocols "
"93","8.710532400","127.0.0.1","127.0.0.1","TCP","44","51348  >  63342 [ACK] Seq=668 Ack=237 Win=65280 Len=0"
"94","9.045803200","127.0.0.1","127.0.0.1","HTTP","950","GET /Wireshark%20Web%20Traffic%20Analysis/index.html?_ijt=jht1a7c04lubumqk802e4orid1&_ij_reload=RELOAD_ON_SAVE HTTP/1.1 "
"95","9.045859000","127.0.0.1","127.0.0.1","TCP","44","63342  >  63756 [ACK] Seq=12525 Ack=4234 Win=200 Len=0"
